timestamp,index,temperature_gpu,utilization_gpu,utilization_memory,memory_used,power_draw,clocks_sm
2026/09/14 16:00:58.780, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 16:00:59.813, 0, 48, 100, 5, 427, 102.79, 1898
2026/09/14 16:00:59.816, 1, 17, 0, 0, 5, 8.55, 139
2026/09/14 16:01:00.848, 0, 48, 100, 5, 427, 109.89, 1898
2026/09/14 16:01:00.851, 1, 17, 0, 0, 5, 8.89, 139
2026/09/14 16:01:01.885, 0, 48, 100, 4, 427, 102.45, 1898
2026/09/14 16:01:01.890, 1, 17, 0, 0, 5, 9.23, 139
2026/09/14 16:01:02.922, 0, 48, 100, 4, 427, 142.15, 1898
2026/09/14 16:01:02.927, 1, 17, 0, 0, 5, 14.65, 139
2026/09/14 16:01:03.978, 0, 48, 100, 5, 427, 98.81, 1898
2026/09/14 16:01:03.982, 1, 17, 0, 0, 5, 8.89, 139
2026/09/14 16:01:05.015, 0, 48, 100, 4, 427, 106.70, 1898
2026/09/14 16:01:05.018, 1, 17, 0, 0, 5, 8.55, 139
2026/09/14 16:01:06.050, 0, 48, 100, 4, 427, 110.23, 1898
2026/09/14 16:01:06.055, 1, 17, 0, 0, 5, 9.23, 139
2026/09/14 16:01:07.089, 0, 48, 100, 5, 427, 86.31, 1898
2026/09/14 16:01:07.092, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 16:01:08.125, 0, 48, 100, 5, 427, 123.21, 1898
2026/09/14 16:01:08.128, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:01:09.162, 0, 48, 100, 5, 427, 137.17, 1898
2026/09/14 16:01:09.168, 1, 17, 0, 0, 5, 8.89, 139
2026/09/14 16:01:10.202, 0, 48, 100, 4, 427, 95.05, 1898
2026/09/14 16:01:10.205, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:01:11.238, 0, 48, 100, 5, 427, 114.35, 1898
2026/09/14 16:01:11.243, 1, 17, 0, 0, 5, 8.89, 139
2026/09/14 16:01:12.278, 0, 48, 100, 4, 427, 100.25, 1898
2026/09/14 16:01:12.281, 1, 17, 0, 0, 5, 9.47, 139
2026/09/14 16:01:13.318, 0, 48, 100, 5, 427, 107.91, 1898
2026/09/14 16:01:13.320, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:01:14.352, 0, 48, 100, 5, 427, 94.60, 1898
2026/09/14 16:01:14.356, 1, 17, 0, 0, 5, 8.69, 139
2026/09/14 16:01:15.401, 0, 48, 100, 4, 427, 98.71, 1898
2026/09/14 16:01:15.405, 1, 18, 0, 0, 5, 8.60, 139
2026/09/14 16:01:16.439, 0, 48, 100, 4, 427, 133.11, 1898
2026/09/14 16:01:16.442, 1, 17, 0, 0, 5, 8.54, 139
2026/09/14 16:01:17.475, 0, 48, 100, 4, 427, 116.11, 1898
2026/09/14 16:01:17.479, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:01:18.512, 0, 48, 100, 4, 427, 89.95, 1898
2026/09/14 16:01:18.514, 1, 17, 0, 0, 5, 8.79, 139
2026/09/14 16:01:19.550, 0, 48, 100, 5, 427, 108.00, 1898
2026/09/14 16:01:19.552, 1, 17, 0, 0, 5, 8.69, 139
2026/09/14 16:01:20.587, 0, 48, 100, 5, 427, 101.29, 1898
2026/09/14 16:01:20.592, 1, 18, 0, 0, 5, 9.03, 139
2026/09/14 16:01:21.628, 0, 48, 100, 5, 427, 101.48, 1898
2026/09/14 16:01:21.635, 1, 18, 0, 0, 5, 9.03, 139
2026/09/14 16:01:22.669, 0, 48, 100, 5, 427, 127.89, 1898
2026/09/14 16:01:22.676, 1, 17, 0, 0, 5, 8.88, 139
2026/09/14 16:01:23.712, 0, 48, 100, 4, 427, 102.25, 1898
2026/09/14 16:01:23.714, 1, 17, 0, 0, 5, 8.89, 139
2026/09/14 16:01:24.750, 0, 48, 100, 5, 427, 117.57, 1898
