config,n_robots,n_platters,write_Mbit_s,mount_s,n_trials,mean_completion_s,p50_completion_s,p99_completion_s,robot_utilization,net_read_s_per_job,write_s_per_job,mount_frac_of_service,n_sets,pooled_set_loss_events,pooled_set_trials,set_loss_prob_estimate,horizon_yr
tape_LTO9_3200Mbit,2,16000,3200.0,1.0,100,7.786,7.694,12.925,0.0,5.6,1.0938,0.13,842,0,84200,0.0,5.0
tape_LTO9_3200Mbit,4,1000,3200.0,1.0,100,7.694,7.694,7.694,0.0,5.6,1.0938,0.13,52,0,5200,0.0,5.0
tape_LTO9_3200Mbit,4,4000,3200.0,1.0,100,7.694,7.694,7.694,0.0,5.6,1.0938,0.13,210,0,21000,0.0,5.0
tape_LTO9_3200Mbit,4,16000,3200.0,1.0,100,7.694,7.694,7.694,0.0,5.6,1.0938,0.13,842,0,84200,0.0,5.0
tape_LTO9_3200Mbit,8,1000,3200.0,1.0,100,7.694,7.694,7.694,0.0,5.6,1.0938,0.13,52,0,5200,0.0,5.0
tape_LTO9_3200Mbit,8,4000,3200.0,1.0,100,7.694,7.694,7.694,0.0,5.6,1.0938,0.13,210,0,21000,0.0,5.0
tape_LTO9_3200Mbit,8,16000,3200.0,1.0,100,7.694,7.694,7.694,0.0,5.6,1.0938,0.13,842,0,84200,0.0,5.0
tape_LTO9_3200Mbit,20,1000,3200.0,1.0,100,7.694,7.694,7.694,0.0,5.6,1.0938,0.13,52,0,5200,0.0,5.0
tape_LTO9_3200Mbit,20,4000,3200.0,1.0,100,7.694,7.694,7.694,0.0,5.6,1.0938,0.13,210,0,21000,0.0,5.0
tape_LTO9_3200Mbit,20,16000,3200.0,1.0,100,7.694,7.694,7.694,0.0,5.6,1.0938,0.13,842,0,84200,0.0,5.0
naive_fast_repair__silica_1beam_18.4Mbit,1000000,4000,18.4,0.0,100,195.817,195.817,195.817,0.0,5.6,190.2174,0.0,210,0,21000,0.0,5.0
naive_fast_repair__silica_1beam_25.6Mbit,1000000,4000,25.6,0.0,100,142.319,142.319,142.319,0.0,5.6,136.7188,0.0,210,0,21000,0.0,5.0
naive_fast_repair__silica_4beam_65.9Mbit,1000000,4000,65.9,0.0,100,58.711,58.711,58.711,0.0,5.6,53.1108,0.0,210,0,21000,0.0,5.0
naive_fast_repair__tape_LTO9_3200Mbit,1000000,4000,3200.0,0.0,100,6.694,6.694,6.694,0.0,5.6,1.0938,0.0,210,0,21000,0.0,5.0
